customerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Count,Country,State,City,ZipCode,LatLong,Latitude,Longitude,ChurnLabel,ChurnValue,ChurnScore,CLTV,ChurnReason,StatusID,Quarter,SatisfactionScore,CustomerStatus,ChurnCategory,NPS_Label,TenureGroup,LastInteractionNote
0019-GFNTW,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,No,1,United States,California,Los Olivos,93441,"34.70434, -120.02609",34.70434,-120.02609,No,0,37,5795,,VLDZUZ4821,Q3,3,Stayed,,Detractor,49-72 months,"This product just doesn't work as advertised, and I'm really disappointed after being a customer for so long. It's a significant downgrade from what I expected."
0020-INWCK,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,No,1,United States,California,Woodlake,93286,"36.464635, -119.094348",36.464635,-119.094348,No,0,26,4865,,RPZQUI8563,Q3,5,Stayed,,Promoter,49-72 months,This product has seriously made my life so much easier for years now. I honestly can't imagine going without it.
0020-JDNXP,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,No,1,United States,California,Point Reyes Station,94956,"38.060264, -122.830646",38.060264,-122.830646,No,0,37,3607,,FRAIWG4696,Q3,4,Stayed,,Passive,25-48 months,"The service has generally been quite reliable for me over the past couple of years, but I've been having some trouble with the mobile app freezing occasionally lately."
0021-IKXGC,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,No,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.119028,-117.166036,No,0,50,4432,,RBBOLA3673,Q3,4,Joined,,Passive,0-12 months,"Overall, the experience has been neutral. I just need help clarifying a minor detail on my last statement regarding a pro-rated charge."
0022-TCJCI,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,Yes,1,United States,California,Daly City,94015,"37.680844, -122.48131",37.680844,-122.48131,Yes,1,92,2654,Limited range of services,BLGYGC8417,Q3,1,Churned,Dissatisfaction,Detractor,25-48 months,"I've been a customer for over three years now, and the service has definitely gone downhill. My internet connection drops multiple times a day, it's unbearable."
0023-HGHWL,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,Yes,1,United States,California,Morgan Hill,95037,"37.161544, -121.649371",37.161544,-121.649371,Yes,1,85,5437,Competitor made better offer,TWXZYP3298,Q3,3,Churned,Competitor,Detractor,0-12 months,"Honestly, I'm just incredibly annoyed. I expected better performance than this after signing up last month."
0023-UYUPN,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,No,1,United States,California,Ahwahnee,93601,"37.375816, -119.739935",37.375816,-119.739935,No,0,61,4015,,XAGDPI1541,Q3,3,Stayed,,Detractor,49-72 months,"This product just doesn't work as advertised, and I'm really disappointed after being a customer for so long. It's a significant downgrade from what I expected."
0023-XUOPT,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,Yes,1,United States,California,Carnelian Bay,96140,"39.227434, -120.091806",39.227434,-120.091806,Yes,1,75,2973,Don't know,AVPPBN5615,Q3,1,Churned,Other,Detractor,13-24 months,"You guys keep raising your prices, but the quality of service just declines. I've been a customer for 16 months and it's worse now than when I started."
0027-KWYKW,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,No,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771,No,0,78,3585,,VSFUFI1719,Q3,4,Stayed,,Passive,13-24 months,"My account works well enough, but I keep getting promotional emails for things I'm not interested in. It's a bit annoying to sift through them."
0030-FNXPP,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,No,1,United States,California,Keeler,93530,"36.560498, -117.962461",36.560498,-117.962461,No,0,59,5634,,TUNPBZ1339,Q3,4,Joined,,Passive,0-12 months,"Everything is generally working as expected, but I had a small problem logging in on a different browser yesterday."
0031-PVLZI,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,Yes,1,United States,California,Korbel,95550,"40.7666, -123.80458",40.7666,-123.80458,Yes,1,81,4133,Competitor had better devices,YJZQLI2714,Q3,1,Churned,Price,Detractor,0-12 months,I'm really frustrated with how often this service goes down. I've only been a customer for a few months and it's already a huge headache.
0032-PGELS,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Yes,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.823091,Yes,1,74,5171,Attitude of service provider,UOACNM5872,Q3,1,Churned,Attitude,Detractor,0-12 months,"I appreciate you trying to help, but this recurring issue has made my first few months a complete nightmare. I'm honestly ready to cancel."
0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No,1,United States,California,Parlier,93648,"36.622237, -119.521126",36.622237,-119.521126,No,0,65,5892,,RTJWHZ1931,Q3,3,Stayed,,Detractor,49-72 months,Why wasn't I informed about these upcoming changes? It's unacceptable to spring things on long-term customers like this without any heads-up whatsoever.
0040-HALCW,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,No,1,United States,California,Modesto,95358,"37.612612, -121.108568",37.612612,-121.108568,No,0,60,6393,,PCPTTK5596,Q3,4,Stayed,,Passive,49-72 months,I need to update my billing address. Where can I find that option in my account settings?
0042-JVWOJ,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,471.85,No,1,United States,California,Glen Ellen,95442,"38.368744, -122.522642",38.368744,-122.522642,No,0,26,3722,,JYORKP4836,Q3,4,Stayed,,Passive,25-48 months,I'm thinking about potentially changing my current plan. Could you send me some information about other options that might suit my needs?
0042-RLHYP,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,No,1,United States,California,Eureka,95503,"40.737431, -124.108897",40.737431,-124.108897,No,0,76,4131,,DHTDBH7277,Q3,5,Stayed,,Promoter,49-72 months,"Always happy with your service, but I was wondering if there's any way to get a slightly earlier delivery window next time?"
0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,No,1,United States,California,Moss Beach,94038,"37.515556, -122.502311",37.515556,-122.502311,No,0,55,5263,,SLJMIG7132,Q3,5,Stayed,,Promoter,25-48 months,"I just realized I've been a customer for over two years now, and I've never had a major issue. That's really impressive!"
0048-PIHNL,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,No,1,United States,California,Los Angeles,90058,"34.001617, -118.222274",34.001617,-118.222274,No,0,20,6061,,TRTMLW9965,Q3,3,Stayed,,Detractor,49-72 months,Why wasn't I informed about these upcoming changes? It's unacceptable to spring things on long-term customers like this without any heads-up whatsoever.
0052-DCKON,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,No,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,No,0,42,5845,,KXLEJS3592,Q3,3,Stayed,,Detractor,49-72 months,"I'm constantly having to reset my equipment, and I've already followed all the troubleshooting steps online. This is not what I signed up for when I joined you years ago."
0052-YNYOT,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,No,1,United States,California,Calexico,92231,"32.690654, -115.431225",32.690654,-115.431225,No,0,72,5462,,JEUUQO4866,Q3,5,Stayed,,Promoter,49-72 months,"Just had a quick question about upgrading my plan, as I'm really keen to try out some of the advanced options I've seen."
0056-EPFBG,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,No,1,United States,California,Redding,96003,"40.677649, -122.29467",40.677649,-122.29467,No,0,29,3899,,YAUJEE4374,Q3,3,Stayed,,Detractor,13-24 months,"I've tried reaching out multiple times over the last few months, and no one seems capable of resolving my persistent issue. This is extremely frustrating."
0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,No,1,United States,California,San Martin,95046,"37.084697, -121.606417",37.084697,-121.606417,No,0,59,4797,,NFIIPW2488,Q3,4,Stayed,,Passive,25-48 months,Is there a way to view my usage history for the past few months? I'm just trying to keep track of my consumption.
0058-EVZWM,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,No,1,United States,California,Stockton,95209,"38.044523, -121.348048",38.044523,-121.348048,No,0,42,5875,,PSZSGW2216,Q3,3,Stayed,,Detractor,49-72 months,"The service used to be so reliable, but for the past few months, it's been constant outages and slow speeds. I'm paying too much for this level of quality."
0060-FUALY,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,No,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,No,0,26,5238,,FDMSKY6865,Q3,3,Stayed,,Detractor,49-72 months,I'm just completely fed up with the recurring issues and the constant need to contact support. It feels like a full-time job managing my account with you.
0064-SUDOG,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,No,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,No,0,57,5190,,VSFPIF7436,Q3,5,Stayed,,Promoter,0-12 months,Your team was a huge help when I had a quick question last week. Fantastic support and a great product!
0064-YIJGF,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,No,1,United States,California,Yermo,92398,"35.013299, -116.834092",35.013299,-116.834092,No,0,46,4994,,VXLWWG6467,Q3,3,Stayed,,Detractor,25-48 months,"This constant buffering is driving me insane. I pay for high-speed service, not a slideshow."
0067-DKWBL,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,1,United States,California,Tipton,93272,"36.047414, -119.344304",36.047414,-119.344304,Yes,1,89,3475,Competitor had better devices,PFDTBW9847,Q3,2,Churned,Competitor,Detractor,0-12 months,"I keep getting disconnected, and I just started using your service. This is completely unacceptable for a new customer."
0068-FIGTF,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,No,1,United States,California,Fremont,94539,"37.516791, -121.899117",37.516791,-121.899117,No,0,54,2297,,VYBTLY1149,Q3,3,Stayed,,Detractor,25-48 months,"While I like the new user interface update, the underlying performance issues make it almost unusable. It's a nice coat of paint on a broken engine."
0071-NDAFP,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,No,1,United States,California,Santa Rosa,95405,"38.439696, -122.668817",38.439696,-122.668817,No,0,65,5230,,WRNQIT8818,Q3,3,Stayed,,Detractor,25-48 months,I'm seriously considering canceling my subscription after being a loyal customer for so long. The value just isn't there anymore.
0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,No,1,United States,California,San Jose,95126,"37.327069, -121.916819",37.327069,-121.916819,No,0,66,3807,,NWTIQX5272,Q3,3,Stayed,,Detractor,25-48 months,"Another month, another billing error. I'm completely fed up with having to call in to fix incorrect charges, this has been an ongoing issue."
0076-LVEPS,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,No,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,No,0,73,3290,,JCDZOG5671,Q3,4,Stayed,,Passive,25-48 months,I'm planning to travel next month. Do I need to do anything specific with my account or services before I leave?
0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No,1,United States,California,Visalia,93291,"36.391777, -119.372842",36.391777,-119.372842,No,0,76,6322,,QABNDF1815,Q3,3,Stayed,,Detractor,49-72 months,"I understand you're doing what you can on this call, but this whole situation has been a headache for weeks now. I've spent so much time trying to fix things myself, and nothing works. The effort is appreciated, but the problem persists."
0080-EMYVY,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,No,1,United States,California,Lodi,95240,"38.123544, -121.159078",38.123544,-121.159078,No,0,57,4298,,IMTVNT1661,Q3,3,Stayed,,Detractor,13-24 months,"I'm so fed up with your customer service. It takes forever to get through, and then the reps can't even solve my problem properly."
0080-OROZO,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,No,1,United States,California,El Portal,95318,"37.654551, -119.822984",37.654551,-119.822984,No,0,36,3244,,BVUOYG9275,Q3,3,Stayed,,Detractor,25-48 months,"You keep raising prices, but the service only seems to get worse. I don't understand what I'm paying more for."
0082-LDZUE,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3,No,1,United States,California,Calistoga,94515,"38.629618, -122.593216",38.629618,-122.593216,No,0,57,4427,,EIBYMO8924,Q3,5,Joined,,Promoter,0-12 months,Just wanted to say how impressed I am. Everything has just worked perfectly from the moment I started using it.
0082-OQIQY,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,No,1,United States,California,Farmington,95230,"37.956963, -120.863055",37.956963,-120.863055,No,0,60,4561,,USWBRO3473,Q3,5,Stayed,,Promoter,25-48 months,You guys are usually so prompt and efficient! I'm just wondering why my order confirmation email hasn't come through yet after an hour.
0083-PIVIK,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,No,1,United States,California,Tulelake,96134,"41.813521, -121.492666",41.813521,-121.492666,No,0,67,4761,,PVHMXM7392,Q3,3,Stayed,,Detractor,49-72 months,"Other providers offer much better value for money, and I'm starting to wonder why I've stuck with you all these years given these constant problems."
0089-IIQKO,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,No,1,United States,California,Coleville,96107,"38.42528, -119.475741",38.42528,-119.475741,No,0,43,4447,,OWRLDA6377,Q3,3,Stayed,,Detractor,25-48 months,"While I like the new user interface update, the underlying performance issues make it almost unusable. It's a nice coat of paint on a broken engine."
0093-EXYQL,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,No,1,United States,California,Ojai,93023,"34.581308, -118.931948",34.581308,-118.931948,No,0,59,5742,,OSCABB6564,Q3,3,Stayed,,Detractor,25-48 months,"This constant buffering is driving me insane. I pay for high-speed service, not a slideshow."
0093-XWZFY,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes,1,United States,California,Desert Hot Springs,92241,"33.832799, -116.250973",33.832799,-116.250973,Yes,1,93,2832,Competitor had better devices,QBACOF6396,Q3,1,Churned,Competitor,Detractor,25-48 months,"I used to recommend your company to everyone, but now I'm embarrassed by how bad the performance has gotten. I'm genuinely considering switching."
0094-OIFMO,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Yes,1,85,5980,Product dissatisfaction,UMEKHN2443,Q3,1,Churned,Dissatisfaction,Detractor,0-12 months,My first bill has extra charges I was never told about. This is completely unacceptable and feels very misleading.
0096-BXERS,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,No,1,United States,California,Inverness,94937,"38.099323, -122.945723",38.099323,-122.945723,No,0,74,3442,,XTZZDH4776,Q3,3,Stayed,,Detractor,0-12 months,The internet speed is nowhere near what I was told it would be. I'm paying for premium service and getting dial-up speeds.
0096-FCPUF,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,No,1,United States,California,Santa Rosa,95404,"38.526941, -122.709096",38.526941,-122.709096,No,0,48,5039,,JKWBGD4891,Q3,3,Stayed,,Detractor,25-48 months,"Another month, another billing error. I'm completely fed up with having to call in to fix incorrect charges, this has been an ongoing issue."
0098-BOWSO,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4,529.8,No,1,United States,California,San Jose,95131,"37.387027, -121.897775",37.387027,-121.897775,No,0,39,3792,,CXEDFW2922,Q3,5,Stayed,,Promoter,25-48 months,Thanks for consistently delivering such a smooth experience. It's a breath of fresh air compared to other companies.
0100-DUVFC,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,No,1,United States,California,Wilmington,90744,"33.782068, -118.262263",33.782068,-118.262263,No,0,57,5291,,ELAHDJ1981,Q3,5,Stayed,,Promoter,49-72 months,I'm so glad I chose your company years ago; it's one of the best decisions I've made for my needs. Thank you for everything!
0103-CSITQ,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,No,1,United States,California,Modesto,95357,"37.670526, -120.877572",37.670526,-120.877572,No,0,65,6026,,TGNGAB2646,Q3,5,Stayed,,Promoter,49-72 months,"I'm loving the new features you rolled out last month! They've made things even easier, which I didn't think was possible."
0104-PPXDV,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,No,1,United States,California,San Diego,92113,"32.697098, -117.116587",32.697098,-117.116587,No,0,30,5232,,AARWWK3686,Q3,5,Stayed,,Promoter,49-72 months,This product has seriously made my life so much easier for years now. I honestly can't imagine going without it.
0106-GHRQR,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,No,1,United States,California,Rancho Palos Verdes,90275,"33.753146, -118.367459",33.753146,-118.367459,No,0,39,3360,,UKXHAJ3212,Q3,5,Stayed,,Promoter,13-24 months,Love your platform! It’s so user-friendly and I've found it incredibly valuable over the last year and some change.
0106-UGRDO,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,No,1,United States,California,Kenwood,95452,"38.419525, -122.521585",38.419525,-122.521585,No,0,37,4216,,HBZXSC8957,Q3,3,Stayed,,Detractor,49-72 months,I'm just completely fed up with the recurring issues and the constant need to contact support. It feels like a full-time job managing my account with you.
0107-WESLM,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,Yes,1,United States,California,West Point,95255,"38.41935, -120.469545",38.41935,-120.469545,Yes,1,66,3874,Attitude of support person,VMXUKJ8354,Q3,2,Churned,Attitude,Detractor,0-12 months,"Your support agents are usually very helpful, but the core service itself is just constantly failing on me. I've only been here six months and it's been problem after problem."
0107-YHINA,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,1,United States,California,Los Angeles,90062,"34.003553, -118.308933",34.003553,-118.308933,Yes,1,93,4214,Attitude of support person,BGEFQQ7162,Q3,1,Churned,Competitor,Detractor,0-12 months,I'm really frustrated with how often this service goes down. I've only been a customer for a few months and it's already a huge headache.
